员工ID,工号,姓名,所属科室,拟岗位,年龄,性别,最高学历,行龄,司龄,近2年绩效平均分,近2年内绩效为B-及以下的次数,近2年内获得A+的次数,近2年内绩效为A及以上的次数,近1年病假天数,近1年事假天数,近2年牵头项目个数,近2年日均工时,组长/骨干标识,重点项目成员标识,敏捷角色（PO/SM）,内部项目支持（担任PM）,外部项目支持（担任PM）,产品经理-业务分析,产品经理-产品设计,近2年行外发表的论文、杂志的数量,近2年获得的部门级以上奖励、荣誉数量,近2年获得的部门级以上的最高荣誉名称,年度部门内分享/培训次数（作为培训者）,年度部门外培训次数（作为培训者）,年度部门外培训次数（作为被培训者）,年度部门内分享/培训次数（作为被培训者）,近2年带教的实习生数量,近2年带教的校招新行员的数量,近2年带教的实习生转正数量,近2年带教的校招新行员转正成绩为A的数量,近3个月查看知识库会议纪要次数,当年资质证书获取情况,数据分析师-数据分析工具运用能力,数据分析师-算法模型开发能力,数据分析师-营销运营能力,数据研发师-SQL开发,数据研发师-数据模型设计,数据研发师-业务理解,应用研发-技术架构设计,应用研发-应用开发能力,AI算法工程师-数学与建模理论基础,AI算法工程师-编程与工程实现,学习能力,创新思维,任务拆解能力,领导力,团队合作,综合评价（A+、A、A-、B、B-）-直属上级,综合评价（A+、A、A-、B、B-）-同级同事,综合评价（A+、A、A-、B、B-）-下级（如有）,特长,兴趣爱好,_summary,所属分组,近期工作任务,手头项目,工作类型,应用领域,工作饱和度,科室周报联动,考试成绩,成绩等级,代码行数,迟到次数,月度加班时长,技能匹配度,经验丰富度,吃苦耐劳度,创新潜力
73,300073,谭婷时,智能应用一部,应用研发,34.1,女,硕士,4.5,3.5,3.69,0,1,0,3,1,1,8.5,0,0,0,0,0,0,0,0,0,无,0,0,0,4,1,1,0,1,25,否,3,3,2,3,2,3,5,3,4,3,3,4,1,3,2,A,A-,B-,写作,阅读,谭婷时（智能应用一部/应用研发） | 女，34.1岁，硕士，行龄4.5年 | 绩效3.69分，日均工时8.5h，牵头项目1个 | 最强技能：技术架构设计(5分)、数学与建模理论基础(4分)、数据分析工具运用能力(3分) | 软技能：创新思维4分/学习能力3分/领导力3分 | 360评价：上级A/同级A- | 岗位匹配：高(技能均分4.0) | 分组：非零BP | 工作类型：开发（含模型、应用、数仓等）/生产运维/测试 | 饱和度：97.1%(高负荷) | 手头项目：JSON转代码验证、客服辅助项目、超级工作台MVP、数据安全脱敏网关系统日常运维与功能迭代,零售应用组,"[""极客大赛技术方案设计，输出可视化组件的详细设计文档"", ""智能尽调助手前端页面开发，完成模型训练层的交互逻辑优化"", ""参与DataFun论坛项目代码评审，完成前端展示层的技术债务清理""]","[""JSON转代码验证"", ""客服辅助项目"", ""超级工作台MVP"", ""数据安全脱敏网关系统日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""生产运维"", ""测试""]","[""智能数据血缘分析工具""]","{""总体饱和度"": 97.1, ""开发/实施占比"": 58.4, ""会议沟通占比"": 19.0, ""文档撰写占比"": 9.8, ""学习提升占比"": 12.9, ""负荷等级"": ""高负荷""}",,65,及格,8633,1,12.2,85,67,74,99
74,300074,姚涛远,综合管理部,架构管理,28.0,男,硕士,4.0,4.3,2.48,1,0,2,5,1,2,8.6,1,0,0,0,0,0,0,0,0,无,1,1,0,0,0,0,0,1,20,是,4,5,3,2,5,4,3,2,4,3,3,2,3,3,1,B-,B+,B+,写作,无,姚涛远（综合管理部/架构管理） | 男，28.0岁，硕士，行龄4.0年 | 绩效2.48分，日均工时8.6h，牵头项目2个 | 角色：组长/骨干 | 最强技能：算法模型开发能力(5分)、数据模型设计(5分)、数据分析工具运用能力(4分) | 软技能：学习能力3分/任务拆解能力3分/领导力3分 | 360评价：上级B-/同级B+ | 岗位匹配：低-错配风险(技能均分2.5) | 分组：零售BP | 工作类型：架构设计/项目管理（含外包管理）/技术评审 | 饱和度：106.8%(高负荷) | 手头项目：信用卡智能后督、AI客户经营、流水鉴真场景、数据测试平台日常运维与功能迭代,财务管控组,"[""司库系统建设架构治理，输出指标计算模块的架构规范与标准"", ""信用风险监测预警技术选型评估，完成消息队列模块的POC验证与决策"", ""客服助手安全架构评审，完成特征工程模块的合规性检查""]","[""信用卡智能后督"", ""AI客户经营"", ""流水鉴真场景"", ""数据测试平台日常运维与功能迭代""]","[""架构设计"", ""项目管理（含外包管理）"", ""技术评审""]","[""零售客户关系管理"", ""长文本智能分析""]","{""总体饱和度"": 106.8, ""开发/实施占比"": 56.4, ""会议沟通占比"": 20.4, ""文档撰写占比"": 12.8, ""学习提升占比"": 10.5, ""负荷等级"": ""高负荷""}",,61,及格,13554,1,0.0,57,73,76,64
75,300075,卢昊,研发管理部,算法工程,29.4,男,本科,4.9,3.9,3.82,1,0,0,2,1,1,7.3,0,0,0,1,0,0,0,0,2,优秀导师,2,1,0,3,1,1,1,1,35,是,5,3,2,4,4,1,2,3,4,3,5,3,4,3,4,B-,B-,A-,写作,绘画,卢昊（研发管理部/算法工程） | 男，29.4岁，本科，行龄4.9年 | 绩效3.82分，日均工时7.3h，牵头项目1个 | 角色：内部PM | 最强技能：数据分析工具运用能力(5分)、SQL开发(4分)、数据模型设计(4分) | 软技能：学习能力5分/任务拆解能力4分/团队合作4分 | 360评价：上级B-/同级B- | 岗位匹配：中(技能均分3.5) | 分组：需求接入组 | 工作类型：开发（含模型、应用、数仓等）/数据分析/项目管理（含外包管理） | 饱和度：76.5%(正常) | 手头项目：East数据质量AI分析、授信政策管理系统日常运维与功能迭代,技术规划组,"[""Hadoop集群RAG检索链路开发，完成缓存层的向量数据库接入"", ""尽调报告助手智能体开发，完成数据接入层的Agent工作流设计"", ""会话式人工智能服务RAG检索链路开发，完成前端展示层的向量数据库接入"", ""金牌催收员NLP模型部署，完成用户权限模块的推理性能优化""]","[""East数据质量AI分析"", ""授信政策管理系统日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据分析"", ""项目管理（含外包管理）""]","[""智能数据血缘分析工具"", ""Hadoop集群""]","{""总体饱和度"": 76.5, ""开发/实施占比"": 44.2, ""会议沟通占比"": 24.1, ""文档撰写占比"": 14.6, ""学习提升占比"": 17.1, ""负荷等级"": ""正常""}",,68,及格,10111,1,16.4,73,78,59,66
76,300076,余辉鹏,智能应用一部,测试,25.7,男,本科,1.9,0.5,3.94,1,0,2,3,0,0,8.5,1,1,0,0,0,0,0,1,1,卓越贡献奖,1,0,0,3,1,0,0,0,31,否,4,3,4,3,3,5,3,3,5,4,2,3,4,3,3,B-,B+,B,写作,无,余辉鹏（智能应用一部/测试） | 男，25.7岁，本科，行龄1.9年 | 绩效3.94分，日均工时8.5h，牵头项目0个 | 角色：组长/骨干、重点项目成员 | 最强技能：数学与建模理论基础(5分)、数据分析工具运用能力(4分)、营销运营能力(4分) | 软技能：任务拆解能力4分/创新思维3分/领导力3分 | 360评价：上级B-/同级B+ | 分组：项目管理团队 | 工作类型：测试/开发（含模型、应用、数仓等）/生产运维 | 饱和度：87.0%(饱和) | 手头项目：长文本智能分析、尽调报告智能体、极客大赛、知识库问答系统日常运维与功能迭代,对公应用组,"[""数据运维平台安全测试，完成前端展示层的渗透测试与漏洞修复验证"", ""新行员培训项目测试评审会议，完成知识图谱模块的测试报告输出"", ""Hadoop集群功能测试用例设计，完成模型训练层的测试执行与缺陷跟踪"", ""绿色金融业务管理安全测试，完成Prompt管理模块的渗透测试与漏洞修复验证""]","[""长文本智能分析"", ""尽调报告智能体"", ""极客大赛"", ""知识库问答系统日常运维与功能迭代""]","[""测试"", ""开发（含模型、应用、数仓等）"", ""生产运维""]","[""统一调度平台"", ""Kafka消息集群""]","{""总体饱和度"": 87.0, ""开发/实施占比"": 58.3, ""会议沟通占比"": 15.6, ""文档撰写占比"": 9.3, ""学习提升占比"": 16.8, ""负荷等级"": ""饱和""}",,62,及格,5182,1,12.7,76,67,80,53
77,300077,汪芳冬,数据治理部,数据分析,22.0,男,硕士,2.1,3.3,3.22,2,0,1,2,2,3,9.4,0,0,0,0,0,0,0,1,1,创新奖,3,0,0,0,1,1,0,1,20,是,4,3,3,3,4,4,5,5,4,4,2,3,1,1,4,A,B,A+,演讲,羽毛球,汪芳冬（数据治理部/数据分析） | 男，22.0岁，硕士，行龄2.1年 | 绩效3.22分，日均工时9.4h，牵头项目3个 | 最强技能：技术架构设计(5分)、应用开发能力(5分)、数据分析工具运用能力(4分) | 软技能：团队合作4分/创新思维3分/学习能力2分 | 360评价：上级A/同级B | 岗位匹配：中(技能均分3.3) | 分组：服务支持组 | 工作类型：数据分析/开发（含模型、应用、数仓等）/需求分析 | 饱和度：104.3%(高负荷) | 手头项目：新行员培训项目、授信政策管理系统日常运维与功能迭代,标准质量组,"[""参与超级工作台MVP数据分析专项，完成可视化组件的深度挖掘"", ""冷热分离工具客户经营分析报告撰写，完成任务调度模块的数据洞察"", ""智能数据血缘分析工具数据挖掘模型训练，完成监控告警模块的预测分析"", ""参与流水鉴真场景数据分析专项，完成日志审计模块的深度挖掘"", ""金牌催收员A/B测试方案设计，完成向量检索模块的效果评估""]","[""新行员培训项目"", ""授信政策管理系统日常运维与功能迭代""]","[""数据分析"", ""开发（含模型、应用、数仓等）"", ""需求分析""]","[""Hadoop数据仓库"", ""数据测试平台""]","{""总体饱和度"": 104.3, ""开发/实施占比"": 64.3, ""会议沟通占比"": 10.2, ""文档撰写占比"": 8.0, ""学习提升占比"": 17.5, ""负荷等级"": ""高负荷""}",,63,及格,7083,1,22.3,78,99,55,58
78,300078,龙山,信息管理部,算法工程,29.6,女,硕士,1.0,2.1,3.57,1,0,0,4,3,4,6.0,0,0,0,0,1,0,0,0,0,无,3,1,1,0,0,0,0,0,20,否,5,2,4,3,5,3,1,3,2,2,5,2,5,3,1,A-,A-,B,演讲,绘画,龙山（信息管理部/算法工程） | 女，29.6岁，硕士，行龄1.0年 | 绩效3.57分，日均工时6.0h，牵头项目4个 | 角色：外部PM | 最强技能：数据分析工具运用能力(5分)、数据模型设计(5分)、营销运营能力(4分) | 软技能：学习能力5分/任务拆解能力5分/领导力3分 | 360评价：上级A-/同级A- | 岗位匹配：低-错配风险(技能均分2.0) | 分组：架构安全组 | 工作类型：开发（含模型、应用、数仓等）/数据分析/项目管理（含外包管理） | 饱和度：75.8%(正常) | 手头项目：信雅达POC、智能外呼分析日常运维与功能迭代,服务支持组,"[""统一调度平台智能体开发，完成任务调度模块的Agent工作流设计"", ""冷热分离工具机器学习模型训练，完成用户权限模块的特征工程与调参"", ""离线数据开发大模型微调训练，完成可视化组件的Prompt工程优化"", ""授信政策管理系统机器学习模型训练，完成监控告警模块的特征工程与调参"", ""公共智能体工作站智能体开发，完成日志审计模块的Agent工作流设计""]","[""信雅达POC"", ""智能外呼分析日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据分析"", ""项目管理（含外包管理）""]","[""Hadoop集群"", ""大模型智能体""]","{""总体饱和度"": 75.8, ""开发/实施占比"": 55.2, ""会议沟通占比"": 15.3, ""文档撰写占比"": 6.8, ""学习提升占比"": 22.7, ""负荷等级"": ""正常""}",,58,不及格,1320,3,37.6,94,38,84,48
79,300079,肖阳欣,信息管理部,数据研发,42.2,女,硕士,4.1,4.0,4.47,2,0,1,1,0,2,8.6,1,1,0,0,0,0,0,0,1,银雁奖,3,0,1,1,0,2,0,1,25,否,1,3,3,5,4,3,4,1,4,3,5,4,4,3,5,B-,B+,A+,编程,音乐,肖阳欣（信息管理部/数据研发） | 女，42.2岁，硕士，行龄4.1年 | 绩效4.47分，日均工时8.6h，牵头项目2个 | 角色：组长/骨干、重点项目成员 | 最强技能：SQL开发(5分)、数据模型设计(4分)、技术架构设计(4分) | 软技能：学习能力5分/团队合作5分/创新思维4分 | 360评价：上级B-/同级B+ | 岗位匹配：高(技能均分4.0) | 分组：标准质量组 | 工作类型：开发（含模型、应用、数仓等）/数据治理/测试 | 饱和度：92.9%(饱和) | 手头项目：East数据质量AI分析、反电诈管理系统日常运维与功能迭代,服务支持组,"[""联机服务集群数据接口开发，完成日志审计模块的API联调与测试"", ""Kafka消息集群历史数据迁移，完成缓存层的数据校验与比对"", ""大模型智能体数仓分层建设，完成监控告警模块的数据接入与清洗"", ""知识库问答系统实时数据链路开发，完成报表生成模块的流式计算任务""]","[""East数据质量AI分析"", ""反电诈管理系统日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据治理"", ""测试""]","[""数据测试平台"", ""East数据质量分析""]","{""总体饱和度"": 92.9, ""开发/实施占比"": 55.8, ""会议沟通占比"": 22.0, ""文档撰写占比"": 13.3, ""学习提升占比"": 9.0, ""负荷等级"": ""饱和""}",,86,优秀,500,1,29.7,74,63,93,98
80,300080,吴土,机构服务团队,架构管理,34.3,女,硕士,4.8,9.4,3.26,1,0,1,3,0,0,6.0,0,1,0,1,0,0,0,1,1,技术标兵,1,0,0,1,2,1,0,0,28,否,4,3,4,3,3,1,3,3,3,3,2,4,4,2,5,B,A+,B,数据分析,阅读,吴土（机构服务团队/架构管理） | 女，34.3岁，硕士，行龄4.8年 | 绩效3.26分，日均工时6.0h，牵头项目0个 | 角色：重点项目成员、内部PM | 最强技能：数据分析工具运用能力(4分)、营销运营能力(4分)、算法模型开发能力(3分) | 软技能：团队合作5分/创新思维4分/任务拆解能力4分 | 360评价：上级B/同级A+ | 岗位匹配：中(技能均分3.0) | 分组：AI产品运营组 | 工作类型：架构设计/项目管理（含外包管理）/技术评审 | 饱和度：53.0%(偏低) | 手头项目：客服辅助项目、绿色金融智能体、知识库问答体系建设、会话式人工智能服务日常运维与功能迭代,零售BP,"[""参与通用办公助手技术债务清理，输出报表生成模块的重构方案"", ""冷热分离工具性能压测方案设计，完成指标计算模块的容量规划"", ""参与A模式POC验证技术债务清理，输出API网关模块的重构方案"", ""组织信雅达POC技术分享，完成模型训练层的知识沉淀""]","[""客服辅助项目"", ""绿色金融智能体"", ""知识库问答体系建设"", ""会话式人工智能服务日常运维与功能迭代""]","[""架构设计"", ""项目管理（含外包管理）"", ""技术评审""]","[""尽调报告助手"", ""大模型智能体""]","{""总体饱和度"": 53.0, ""开发/实施占比"": 44.6, ""会议沟通占比"": 14.0, ""文档撰写占比"": 5.8, ""学习提升占比"": 35.6, ""负荷等级"": ""偏低""}",,83,良好,5508,3,15.8,50,79,99,78
81,300081,杨东,数据治理部,架构管理,30.4,男,硕士,4.1,4.4,2.99,0,1,2,2,1,0,7.1,0,1,0,0,0,0,0,1,0,无,2,0,1,3,0,1,0,0,13,是,2,2,4,3,5,4,2,3,3,2,2,5,2,3,3,A+,A,A,数学,游泳,杨东（数据治理部/架构管理） | 男，30.4岁，硕士，行龄4.1年 | 绩效2.99分，日均工时7.1h，牵头项目0个 | 角色：重点项目成员 | 最强技能：数据模型设计(5分)、营销运营能力(4分)、SQL开发(3分) | 软技能：创新思维5分/领导力3分/团队合作3分 | 360评价：上级A+/同级A | 岗位匹配：低-错配风险(技能均分2.5) | 分组：运维支持组 | 工作类型：架构设计/技术评审/项目管理（含外包管理） | 饱和度：69.2%(偏低) | 手头项目：East数据质量AI分析、大模型智能体日常运维与功能迭代,监管数据治理,"[""金牌催收员性能压测方案设计，完成前端展示层的容量规划"", ""组织授信政策知识体系技术分享，完成Prompt管理模块的知识沉淀"", ""信用风险监测预警云原生架构规划，完成数据接入层的容器化改造方案"", ""知识库问答系统性能压测方案设计，完成模型训练层的容量规划"", ""大模型智能体性能压测方案设计，完成特征工程模块的容量规划""]","[""East数据质量AI分析"", ""大模型智能体日常运维与功能迭代""]","[""架构设计"", ""技术评审"", ""项目管理（含外包管理）""]","[""联机服务集群""]","{""总体饱和度"": 69.2, ""开发/实施占比"": 54.2, ""会议沟通占比"": 23.8, ""文档撰写占比"": 5.4, ""学习提升占比"": 16.6, ""负荷等级"": ""偏低""}",,69,及格,10107,0,22.6,89,99,88,42
82,300082,余东,信息管理部,数据研发,29.2,男,本科,6.6,3.1,4.24,0,0,0,2,1,2,9.7,0,0,0,0,0,0,1,2,0,无,3,0,1,1,0,1,0,1,13,是,5,3,2,3,4,2,3,3,5,4,1,5,5,3,4,A+,A-,B,数据分析,绘画,余东（信息管理部/数据研发） | 男，29.2岁，本科，行龄6.6年 | 绩效4.24分，日均工时9.7h，牵头项目2个 | 最强技能：数据分析工具运用能力(5分)、数学与建模理论基础(5分)、数据模型设计(4分) | 软技能：创新思维5分/任务拆解能力5分/团队合作4分 | 360评价：上级A+/同级A- | 岗位匹配：中(技能均分3.0) | 分组：AI产品运营组 | 工作类型：开发（含模型、应用、数仓等）/数据治理/测试 | 饱和度：106%(高负荷) | 手头项目：智能工单场景、尽调报告智能体、客服辅助项目、离线数据开发日常运维与功能迭代,管理信息组,"[""参与Openclaw框架调研数据架构评审，输出模型训练层技术方案"", ""信用风险监测预警数据模型设计与开发，完成测试框架的ETL流程优化"", ""East数据质量分析实时数据链路开发，完成知识图谱模块的流式计算任务"", ""离线数据开发实时数据链路开发，完成知识图谱模块的流式计算任务""]","[""智能工单场景"", ""尽调报告智能体"", ""客服辅助项目"", ""离线数据开发日常运维与功能迭代""]","[""开发（含模型、应用、数仓等）"", ""数据治理"", ""测试""]","[""尽调报告助手""]","{""总体饱和度"": 106, ""开发/实施占比"": 68.2, ""会议沟通占比"": 13.9, ""文档撰写占比"": 13.9, ""学习提升占比"": 4.0, ""负荷等级"": ""高负荷""}",,56,不及格,5500,0,20.3,69,73,49,76
83,300083,龙银,数据治理部,架构管理,30.6,女,本科,3.2,5.5,4.47,1,0,0,2,1,3,7.5,0,0,0,0,0,0,0,1,0,无,2,1,1,1,0,0,1,0,18,是,3,3,3,5,3,3,3,3,3,3,2,4,4,5,2,A-,A-,B-,数学,摄影,龙银（数据治理部/架构管理） | 女，30.6岁，本科，行龄3.2年 | 绩效4.47分，日均工时7.5h，牵头项目3个 | 最强技能：SQL开发(5分)、数据分析工具运用能力(3分)、算法模型开发能力(3分) | 软技能：领导力5分/创新思维4分/任务拆解能力4分 | 360评价：上级A-/同级A- | 岗位匹配：中(技能均分3.0) | 分组：架构安全组 | 工作类型：架构设计/项目管理（含外包管理）/技术评审 | 饱和度：79.1%(正常) | 手头项目：East数据质量AI分析、Hadoop集群日常运维与功能迭代,监管数据治理,"[""外搜接口采购架构治理，输出特征工程模块的架构规范与标准"", ""DWS数据集群云原生架构规划，完成数据接入层的容器化改造方案"", ""统一调度平台云原生架构规划，完成日志审计模块的容器化改造方案"", ""尽调报告助手技术选型评估，完成测试框架的POC验证与决策""]","[""East数据质量AI分析"", ""Hadoop集群日常运维与功能迭代""]","[""架构设计"", ""项目管理（含外包管理）"", ""技术评审""]","[""数据脱敏工具"", ""Hadoop数据仓库""]","{""总体饱和度"": 79.1, ""开发/实施占比"": 58.2, ""会议沟通占比"": 12.5, ""文档撰写占比"": 7.9, ""学习提升占比"": 21.4, ""负荷等级"": ""正常""}",,56,不及格,4806,2,10.5,99,78,74,55
